,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__criterion,param_randomforestclassifier__max_depth,param_randomforestclassifier__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,3.2847496509552,0.08904263778912873,0.008224678039550782,0.0029780050343993078,True,gini,10,sqrt,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__max_features': 'sqrt'}",0.7974683544303798,0.7953586497890295,0.7463002114164905,0.8033826638477801,0.7928118393234672,0.7758985200845666,0.828752642706131,0.7801268498942917,0.8076109936575053,0.7928118393234672,0.7920522564473109,0.020628134229738304,20
1,2.2378443241119386,0.04677455928694535,0.007649278640747071,0.0025508120548869725,True,gini,10,log2,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__max_features': 'log2'}",0.8037974683544303,0.7658227848101266,0.7505285412262156,0.7864693446088795,0.7801268498942917,0.7568710359408034,0.8097251585623678,0.7885835095137421,0.7758985200845666,0.7970401691331924,0.7814863382128616,0.018587782217831916,45
2,4.422252893447876,0.10865348438299934,0.010641241073608398,0.004556052902866874,True,gini,20,sqrt,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__max_features': 'sqrt'}",0.810126582278481,0.7763713080168776,0.7357293868921776,0.8076109936575053,0.7758985200845666,0.7822410147991543,0.8097251585623678,0.7885835095137421,0.8160676532769556,0.7949260042283298,0.7897280131310158,0.022802318551637585,32
3,3.1832289695739746,0.07314916053481714,0.010712623596191406,0.0031935520510843795,True,gini,20,log2,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__max_features': 'log2'}",0.8016877637130801,0.7848101265822784,0.7610993657505285,0.7758985200845666,0.7632135306553911,0.7716701902748414,0.8202959830866807,0.758985200845666,0.7822410147991543,0.7780126849894292,0.7797914380781616,0.0181456563182589,47
4,4.69212920665741,0.0878818750177464,0.010363626480102538,0.0030960590719039506,True,gini,30,sqrt,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__max_features': 'sqrt'}",0.8143459915611815,0.7953586497890295,0.733615221987315,0.8012684989429175,0.813953488372093,0.773784355179704,0.8033826638477801,0.7885835095137421,0.7970401691331924,0.7780126849894292,0.7899345233316384,0.022668701776592384,31
5,3.2338924169540406,0.10320290199986819,0.009437155723571778,0.002928591695046687,True,gini,30,log2,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 30, 'randomforestclassifier__max_features': 'log2'}",0.7848101265822784,0.7827004219409283,0.7568710359408034,0.7843551797040169,0.7928118393234672,0.7484143763213531,0.813953488372093,0.7822410147991543,0.7864693446088795,0.7780126849894292,0.7810639512582404,0.017142008204718517,46
6,4.885438108444214,0.09172200628627279,0.010758471488952637,0.003129971577720769,True,gini,40,sqrt,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 40, 'randomforestclassifier__max_features': 'sqrt'}",0.8122362869198312,0.79957805907173,0.7272727272727273,0.7970401691331924,0.8118393234672304,0.7758985200845666,0.813953488372093,0.7843551797040169,0.7949260042283298,0.7885835095137421,0.7905683267767459,0.024238295718076713,28
7,3.2927277803421022,0.07224229770615002,0.011521697044372559,0.00273461722263512,True,gini,40,log2,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 40, 'randomforestclassifier__max_features': 'log2'}",0.7911392405063291,0.7827004219409283,0.758985200845666,0.7801268498942917,0.7970401691331924,0.7568710359408034,0.813953488372093,0.7780126849894292,0.7906976744186046,0.7674418604651163,0.7816968626506453,0.01672863307693309,44
8,5.004350376129151,0.10802392187887849,0.010793113708496093,0.0030702149660443378,True,gini,50,sqrt,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 50, 'randomforestclassifier__max_features': 'sqrt'}",0.8122362869198312,0.79957805907173,0.7272727272727273,0.7970401691331924,0.8118393234672304,0.7758985200845666,0.813953488372093,0.7843551797040169,0.7949260042283298,0.7885835095137421,0.7905683267767459,0.024238295718076713,28
9,3.3225905179977415,0.09984890357585709,0.012549901008605957,0.003435053032846206,True,gini,50,log2,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 50, 'randomforestclassifier__max_features': 'log2'}",0.7911392405063291,0.7827004219409283,0.758985200845666,0.7801268498942917,0.8012684989429175,0.7568710359408034,0.813953488372093,0.7780126849894292,0.7906976744186046,0.7674418604651163,0.7821196956316179,0.017159008311287197,42
